train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/episodes,train/critic_loss,train/ent_coef_loss,train/n_updates
-6.4797539710998535,0.00075,0.0030726089607924223,500.0,40.96390646999999,3074,644000,209,1280,0.11248315125703812,-0.6650732755661011,45764
-6.875855445861816,0.00075,0.0031975973397493362,500.0,41.39106326,3108,651000,209,1290,0.11658547818660736,6.847980976104736,46264
,,,500.0,41.39106326,3108,651000,209,1300,,,
-6.5604424476623535,0.00075,0.0031863339245319366,500.0,45.69610969,3143,658000,209,1310,0.07767896354198456,-7.495561122894287,46764
-7.619595527648926,0.00075,0.0031949009280651808,500.0,51.398798320000004,3177,665000,209,1320,0.08493766188621521,-0.3436470031738281,47264
,,,500.0,51.398798320000004,3177,665000,209,1330,,,
-8.803464889526367,0.00075,0.003272425616160035,500.0,50.05109538999999,3211,672000,209,1340,0.13955055177211761,2.637369394302368,47764
-6.915063858032227,0.00075,0.0032229300122708082,500.0,50.05726165000001,3245,679000,209,1350,0.07979466766119003,-3.9779043197631836,48264
-7.233486175537109,0.00075,0.003242004197090864,500.0,56.094568550000005,3280,686000,209,1360,0.09911984205245972,0.3508654832839966,48764
,,,500.0,56.094568550000005,3280,686000,209,1370,,,
-8.277185440063477,0.00075,0.0032582287676632404,500.0,61.87773392,3313,693000,209,1380,3.640474796295166,11.536957740783691,49264
-7.658943176269531,0.00075,0.0035273018293082714,500.0,66.72149888,3347,700000,209,1390,0.078964963555336,-1.089263916015625,49764
,,,500.0,66.72149888,3347,700000,209,1400,,,
-7.561183929443359,0.00075,0.0036069294437766075,500.0,66.29375542000001,3381,707000,209,1410,0.07089975476264954,-3.1255788803100586,50264
-8.885443687438965,0.00075,0.00371210346929729,500.0,66.13191851,3415,714000,209,1420,0.2748441696166992,3.956350803375244,50764
-7.51786994934082,0.00075,0.003888407489284873,500.0,67.82186974000001,3449,721000,209,1430,0.16484443843364716,-1.9227269887924194,51264
