train/ent_coef,train/actor_loss,time/total_timesteps,time/episodes,train/n_updates,time/fps,train/learning_rate,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed
0.01064517255872488,-22.652082443237305,847000,1690,60264,222,0.00075,500.0,0.9755536317825317,237.09412254999998,-0.8837535381317139,3815
0.010729082860052586,-28.277484893798828,854000,1700,60764,222,0.00075,500.0,14.583938598632812,238.55361557999996,3.929774284362793,3846
0.010275788605213165,-26.007896423339844,861000,1710,61264,221,0.00075,500.0,3.008312225341797,251.96349331000005,3.533966064453125,3878
,,861000,1720,,221,,500.0,,251.96349331000005,,3878
0.010552262887358665,-32.190635681152344,868000,1730,61764,221,0.00075,500.0,4.26957893371582,254.46265582,5.86627197265625,3910
0.010392658412456512,-26.431058883666992,875000,1740,62264,221,0.00075,500.0,1.4349961280822754,256.27740854,-5.5279717445373535,3942
,,875000,1750,,221,,500.0,,256.27740854,,3942
0.009668531827628613,-28.633934020996094,882000,1760,62764,221,0.00075,500.0,1.575643539428711,255.46182142,-2.2189786434173584,3974
0.010157451964914799,-33.077735900878906,889000,1770,63264,221,0.00075,500.0,0.6232329607009888,289.33539054,2.8089816570281982,4005
0.010428325273096561,-25.38753890991211,896000,1780,63764,221,0.00075,500.0,13.350387573242188,293.20163455,-2.482677459716797,4036
,,896000,1790,,221,,500.0,,293.20163455,,4036
0.010893641039729118,-30.139238357543945,903000,1800,64264,221,0.00075,500.0,0.9332683086395264,305.56172934,-3.171931266784668,4068
0.01027232501655817,-26.66313934326172,910000,1810,64764,221,0.00075,500.0,0.888663649559021,259.66307317,-0.468503475189209,4100
,,910000,1820,,221,,500.0,,259.66307317,,4100
0.010495898313820362,-34.108299255371094,917000,1830,65264,221,0.00075,500.0,0.6826395988464355,219.14169419000007,-1.3568696975708008,4132
0.010003485716879368,-30.794185638427734,924000,1840,65764,221,0.00075,500.0,0.8383359909057617,170.86868133,4.293834686279297,4164
0.009750242345035076,-28.20480728149414,931000,1850,66264,221,0.00075,500.0,1.228574275970459,149.85683504000002,-1.9271128177642822,4196
,,931000,1860,,221,,500.0,,149.85683504000002,,4196
0.010730305686593056,-31.8651123046875,938000,1870,66764,221,0.00075,500.0,1.0037167072296143,97.53882415000004,1.0813887119293213,4228
0.010390002280473709,-37.976959228515625,945000,1880,67264,221,0.00075,500.0,0.7469314932823181,61.38747154,-3.2755000591278076,4259
,,945000,1890,,221,,500.0,,61.38747154,,4259
0.010258711874485016,-35.99958038330078,952000,1900,67764,221,0.00075,500.0,2.2343029975891113,65.14429722,1.7359613180160522,4291
0.010580739937722683,-40.886505126953125,959000,1910,68264,221,0.00075,500.0,1.0694462060928345,89.30857456,0.6777831315994263,4322
0.01120578870177269,-36.39020919799805,966000,1920,68764,221,0.00075,500.0,0.7956042885780334,98.49324407999998,-2.5887465476989746,4354
,,966000,1930,,221,,500.0,,98.49324407999998,,4354
0.010460194200277328,-33.565711975097656,973000,1940,69264,221,0.00075,500.0,0.9953120946884155,100.00177173000002,-0.9543247222900391,4386
0.01028134673833847,-37.86219024658203,980000,1950,69764,221,0.00075,500.0,1.102405071258545,90.73615870000002,0.47083792090415955,4417
,,980000,1960,,221,,500.0,,90.73615870000002,,4417
0.00997384637594223,-35.51801300048828,987000,1970,70264,221,0.00075,500.0,0.8236846923828125,87.23043922000005,-8.942316055297852,4451
0.010853353887796402,-38.23204040527344,994000,1980,70764,221,0.00075,500.0,16.23712158203125,125.66555591999999,-3.2401206493377686,4486
