train/learning_rate,time/fps,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,train/actor_loss,time/time_elapsed,train/critic_loss,time/total_timesteps,time/episodes
0.00075,211,500.0,60264,118.99887794999997,-3.0259385108947754,0.0034318873658776283,-9.253662109375,4004,0.1359831690788269,847000,1690
0.00075,211,500.0,60764,126.72706985,1.2730944156646729,0.003370462916791439,-10.088539123535156,4037,0.10126116871833801,854000,1700
0.00075,211,500.0,61264,137.26298364000002,-2.9973931312561035,0.003613243578001857,-9.093846321105957,4071,0.1801520586013794,861000,1710
,211,500.0,,137.26298364000002,,,,4071,,861000,1720
0.00075,211,500.0,61764,137.37450954000002,5.644655227661133,0.0033273526933044195,-9.513858795166016,4104,0.3593030571937561,868000,1730
0.00075,211,500.0,62264,129.10659389999998,-3.897390842437744,0.003532160772010684,-8.760066032409668,4137,0.05283728241920471,875000,1740
,211,500.0,,129.10659389999998,,,,4137,,875000,1750
0.00075,211,500.0,62764,125.15350224,7.993093967437744,0.003471270203590393,-9.036623001098633,4171,0.06440779566764832,882000,1760
0.00075,211,500.0,63264,122.6928293,-1.7100415229797363,0.0035331230610609055,-10.379751205444336,4205,0.09151794016361237,889000,1770
0.00075,211,500.0,63764,118.50397099999998,-2.7113542556762695,0.003066878067329526,-7.776540279388428,4237,1.0106602907180786,896000,1780
,211,500.0,,118.50397099999998,,,,4237,,896000,1790
0.00075,211,500.0,64264,143.56841014000003,-2.58121657371521,0.003677887376397848,-9.035236358642578,4269,0.15732543170452118,903000,1800
0.00075,211,500.0,64764,158.83823364999998,-10.183816909790039,0.004338264465332031,-9.617002487182617,4302,0.15128430724143982,910000,1810
,211,500.0,,158.83823364999998,,,,4302,,910000,1820
0.00075,211,500.0,65264,178.15852401000004,2.9123857021331787,0.0037099425680935383,-10.832164764404297,4335,0.4705439805984497,917000,1830
0.00075,211,500.0,65764,198.23950218000004,-3.8144991397857666,0.003943040035665035,-9.92642879486084,4368,0.1500205397605896,924000,1840
0.00075,211,500.0,66264,213.11205630999996,3.1739981174468994,0.0035865185782313347,-11.580632209777832,4401,1.875300645828247,931000,1850
,211,500.0,,213.11205630999996,,,,4401,,931000,1860
0.00075,211,500.0,66764,245.01694347999998,-6.277139186859131,0.0036179139278829098,-10.427807807922363,4433,0.4503995478153229,938000,1870
0.00075,211,500.0,67264,260.69181403,0.23013317584991455,0.004422453697770834,-10.33175277709961,4464,0.29975032806396484,945000,1880
,211,500.0,,260.69181403,,,,4464,,945000,1890
0.00075,211,500.0,67764,257.04304042999996,-7.237899303436279,0.004379731137305498,-11.774934768676758,4496,0.8423213958740234,952000,1900
0.00075,211,500.0,68264,248.58438455000004,-2.6538877487182617,0.004073705058544874,-11.526780128479004,4529,0.264281690120697,959000,1910
0.00075,211,500.0,68764,244.91553331,0.8323491811752319,0.0038734141271561384,-12.154766082763672,4563,0.2126985490322113,966000,1920
,211,500.0,,244.91553331,,,,4563,,966000,1930
0.00075,211,500.0,69264,227.35812098,-1.8415722846984863,0.0037957129534333944,-11.938966751098633,4598,0.3377130627632141,973000,1940
0.00075,211,500.0,69764,220.39569665,3.288989782333374,0.004125361796468496,-11.88737964630127,4632,6.859417915344238,980000,1950
,211,500.0,,220.39569665,,,,4632,,980000,1960
0.00075,211,500.0,70264,221.18547563,-4.63630485534668,0.004265254829078913,-10.566436767578125,4668,3.2222728729248047,987000,1970
0.00075,211,500.0,70764,211.27152166,1.063915729522705,0.004418566823005676,-14.305379867553711,4702,0.45913901925086975,994000,1980
