time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/ent_coef_loss,time/fps,train/n_updates,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef,train/actor_loss,train/learning_rate
3311,1420,74.1347749,-6.198551177978516,215,50764,714000,500.0,0.5065613985061646,0.002746015088632703,-6.447790145874023,0.00075
3346,1430,81.06867972,6.8574700355529785,215,51264,721000,500.0,0.18179616332054138,0.0028896660078316927,-6.896753311157227,0.00075
3346,1440,81.06867972,,215,,721000,500.0,,,,
3381,1450,87.17027705000001,7.032253742218018,215,51764,728000,500.0,0.1792292445898056,0.0026927494909614325,-6.895078182220459,0.00075
3414,1460,100.97361783000001,-0.3796231150627136,215,52264,735000,500.0,1.3106586933135986,0.0028073135763406754,-7.090784072875977,0.00075
3414,1470,100.97361783000001,,215,,735000,500.0,,,,
3449,1480,128.57399569999998,4.991240978240967,215,52764,742000,500.0,0.12227118015289307,0.0029614425729960203,-7.660297870635986,0.00075
3482,1490,146.69445501,1.9928605556488037,215,53264,749000,500.0,0.08095963299274445,0.0027443906292319298,-7.029120445251465,0.00075
3516,1500,173.81319603999998,3.5384879112243652,214,53764,756000,500.0,0.24026401340961456,0.0029772568959742785,-7.591961860656738,0.00075
3517,1510,173.81319603999998,,214,,756000,500.0,,,,
3551,1520,198.89852454,-1.4326510429382324,214,54264,763000,500.0,0.14635981619358063,0.0029169106855988503,-8.085285186767578,0.00075
3585,1530,199.69079856999997,5.888097763061523,214,54764,770000,500.0,0.230627179145813,0.00322483922354877,-7.445687294006348,0.00075
3585,1540,199.69079856999997,,214,,770000,500.0,,,,
3620,1550,215.15110432999998,-2.197261333465576,214,55264,777000,500.0,0.3870096802711487,0.00353618199005723,-8.476638793945312,0.00075
3655,1560,200.76354427,9.918825149536133,214,55764,784000,500.0,0.49453607201576233,0.003563267644494772,-8.73173999786377,0.00075
3689,1570,185.31571086,-2.6593432426452637,214,56264,791000,500.0,0.10834257304668427,0.003791562980040908,-8.875765800476074,0.00075
3689,1580,185.31571086,,214,,791000,500.0,,,,
3723,1590,173.07607876000003,-0.8059765100479126,214,56764,798000,500.0,0.5391894578933716,0.003650823375210166,-8.248653411865234,0.00075
3757,1600,155.9651553,-0.9402366876602173,214,57264,805000,500.0,0.43874043226242065,0.003886194434016943,-8.869163513183594,0.00075
3757,1610,155.9651553,,214,,805000,500.0,,,,
3792,1620,147.54086339000003,-0.585901141166687,214,57764,812000,500.0,0.22897928953170776,0.003667339915409684,-9.178584098815918,0.00075
3827,1630,143.40114735,5.236852645874023,213,58264,819000,500.0,0.3031957745552063,0.004103637300431728,-10.260551452636719,0.00075
3861,1640,136.88009141000003,0.6344331502914429,213,58764,826000,500.0,4.237642288208008,0.004099584650248289,-11.27318000793457,0.00075
3861,1650,136.88009141000003,,213,,826000,500.0,,,,
3895,1660,153.98431224,3.4917821884155273,213,59264,833000,500.0,0.31718188524246216,0.004211936146020889,-10.509921073913574,0.00075
3930,1670,155.89745871,-3.3992040157318115,213,59764,840000,500.0,0.5990849733352661,0.004145655315369368,-10.560169219970703,0.00075
3930,1680,155.89745871,,213,,840000,500.0,,,,
3964,1690,167.67476780999996,5.221380233764648,213,60264,847000,500.0,0.538976788520813,0.004694091621786356,-11.587956428527832,0.00075
3998,1700,155.7694446,-0.42673683166503906,213,60764,854000,500.0,0.9109485149383545,0.0042135328985750675,-13.275192260742188,0.00075
4032,1710,159.34469896000002,4.833337306976318,213,61264,861000,500.0,1.3599872589111328,0.0049100155010819435,-13.134531021118164,0.00075
4032,1720,159.34469896000002,,213,,861000,500.0,,,,
4066,1730,160.3887272,7.106679439544678,213,61764,868000,500.0,0.39252692461013794,0.0052955313585698605,-13.374472618103027,0.00075
4100,1740,170.84177127000004,-0.7824616432189941,213,62264,875000,500.0,0.5078909397125244,0.004949299152940512,-12.726768493652344,0.00075
4100,1750,170.84177127000004,,213,,875000,500.0,,,,
4135,1760,168.32733129,-4.530688285827637,213,62764,882000,500.0,1.0129284858703613,0.0053042578510940075,-12.436136245727539,0.00075
4169,1770,177.64631302000006,1.2642362117767334,213,63264,889000,500.0,0.7270874977111816,0.00521652540192008,-14.707962036132812,0.00075
4203,1780,172.97316369999996,4.101841926574707,213,63764,896000,500.0,3.1350903511047363,0.005304242949932814,-13.117076873779297,0.00075
4203,1790,172.97316369999996,,213,,896000,500.0,,,,
4236,1800,188.88767411999999,1.7826459407806396,213,64264,903000,500.0,0.9332282543182373,0.005209192633628845,-15.526304244995117,0.00075
4270,1810,189.90528168999998,-2.874595880508423,213,64764,910000,500.0,0.24330703914165497,0.0061448486521840096,-14.39517593383789,0.00075
4270,1820,189.90528168999998,,213,,910000,500.0,,,,
4303,1830,195.42587604000005,8.245026588439941,213,65264,917000,500.0,0.37456566095352173,0.005621195305138826,-15.300511360168457,0.00075
4335,1840,197.69536378,-1.3450270891189575,213,65764,924000,500.0,0.92644202709198,0.005928824655711651,-16.24113655090332,0.00075
4369,1850,203.89235338999998,-4.9118804931640625,213,66264,931000,500.0,1.1674574613571167,0.005547965411096811,-15.923555374145508,0.00075
4369,1860,203.89235338999998,,213,,931000,500.0,,,,
4401,1870,184.01825607000004,-1.290651559829712,213,66764,938000,500.0,0.6712075471878052,0.005719511769711971,-14.1514310836792,0.00075
4434,1880,208.99578439,-5.472676753997803,213,67264,945000,500.0,0.6990372538566589,0.006055913865566254,-13.543323516845703,0.00075
4434,1890,208.99578439,,213,,945000,500.0,,,,
4467,1900,178.69447262999995,-1.9188930988311768,213,67764,952000,500.0,0.48814699053764343,0.005504554603248835,-19.825786590576172,0.00075
4500,1910,194.06560348000002,2.0786967277526855,213,68264,959000,500.0,0.22270017862319946,0.005255396477878094,-15.606730461120605,0.00075
4534,1920,219.66749517000005,-6.727177619934082,213,68764,966000,500.0,0.41216281056404114,0.00594248715788126,-17.73686408996582,0.00075
4534,1930,219.66749517000005,,213,,966000,500.0,,,,
4567,1940,237.32416614999994,-2.6752772331237793,213,69264,973000,500.0,0.7960767149925232,0.005685601383447647,-16.883203506469727,0.00075
4602,1950,238.00917585,0.26923537254333496,212,69764,980000,500.0,1.2417783737182617,0.006053708028048277,-17.11227035522461,0.00075
4602,1960,238.00917585,,212,,980000,500.0,,,,
4636,1970,254.23731856000003,5.358951091766357,212,70264,987000,500.0,0.5406949520111084,0.00618865666911006,-17.23420524597168,0.00075
4673,1980,253.80274621,-3.432554244995117,212,70764,994000,500.0,0.3922123312950134,0.00643915357068181,-18.88385772705078,0.00075
